Report Date,Sol,Writer,Non-Nominal Systems,Notes on Non-Nom. Sys,Generator,Solar (SOC%),Diesel,Propane,Ethanol-Free Gasoline (gal),Water: Loft Tank (gal),Water: Meter (units),Water: Static Tank (gal),Pump Use,Water in GreenHab (gal),Water in ScienceDome (gal),Toilet Emptied?,Perseverance,P_Hours,P_Charge_Start,P_Charge_End,P_Charge_Status,Sojourner,So_Hours,So_Charge_Start,So_Charge_End,So_Charge_Status,Spirit,Sp_Hours,Sp_Charge_Start,Sp_Charge_End,Sp_charge_Status,Opportunity,O_Hours,O_charge_start,O_charge_end,O_charge_status,Curiosity,C_Hours,C_charge_start,C_charge_end,C_charge_status,Deimos,D_Hours,D_Charge_Start,D_Charge_End,D_Charge_Status,Rover Notes,ATV,HabCar,CrewCar,General Notes,Internet Status,Suits & Radio Status,Observatory,Health & Safety,HAB Notes,GreenHab Notes,ScienceDome Notes,RAM Notes,Questions
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crew 204  30 Jan 2019,SOL  2,Kunal Naik  Space_bot,None,N A,,Turned on  29th January  85%  Turned on  30th January  74%,1 2 Tank,73%,10,,01406324,90%  450,yes,278.5,,No,,,,,,ASSIGNED TO DIRECTOR,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Used for 1st EVA,71.6 hours,100%,88%,Yes,Brakes not functional,46.2 hours,100%,100%,Yes,Not Used,Not Used,Not Used,Not Used,Not Used,No  still not functional,N A,N A,N A,N A,None,N A,For water,,We have received 2 packages.,N A,Nothing to report.,Nothing to report.,,,Nothing to report.,Received a box package of MDRS Sim Suit Recharger which is now in the HAB with the crew 204.,Nothing to report.,Nothing to report.
Crew 204  30 Jan 2019,SOL  2,Kunal Naik  Space_bot,None,N A,,Turned on  29th January  85%  Turned on  30th January  74%,1 2 Tank,73%,10,,01406324,90%  450,yes,200.5,,No,,,,,,ASSIGNED TO DIRECTOR,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Used for 1st EVA,71.6 hours,100%,88%,Yes,Brakes not functional,46.2 hours,100%,100%,Yes,Not Used,Not Used,Not Used,Not Used,Not Used,No  still not functional,N A,N A,N A,N A,None,N A,For water,,We have received 2 packages.,N A,Nothing to report.,Nothing to report.,,,Nothing to report.,Received a box package of MDRS Sim Suit Recharger which is now in the HAB with the crew 204.,Nothing to report.,Nothing to report.
Crew 204  29 01 2019,SOL  01,Kunal Naik  Space_bot,None,N A,,Turned on  28th January  97%  Turned on  29th January  85%,1 2 Tank,75%,10,,01406097,40%  200,yes,About 40% 120,,No,,,,,,ASSIGNED TO DIRECTOR,Not Applicable,Not Applicable,Not Applicable,Not Applicable,For Training purpose,70.6 hours,100%,Not checked while training,Yes,Brakes not functional,46.2 hours,100%,100%,Yes,For Training purpose,72.7 hours,100%,Not checked while training,Yes,No  still not functional,N A,N A,N A,N A,None,N A,For water,,Nothing to Report,N A,Nothing to report.,Nothing to report.,,,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.
28Jan2019,,Atila Meszaros,HabCar,Habcar s left rear wheel got a cut from a barbed wire on CowDung Road. David and I replaced the wheel using a back up.,,Turned on  26Jan2019  85 Turned off  26Jan2019  85%  Turned on  26Jan2019  97%.,1 2 Tank,79%,10,,Not checked,20%  100.,Not checked,About 5%  15,,No.,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Not used.,70.3,100%,100%,Yes,Not used.,46.2,100%,100%,Yes,Used for transportation to replace the Habcar wheel.,Not checked,100%,80%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brakes on Opportunity still not working properly.,40 minutes,Non nominal systems,Off campus.,,Nothing to report.,Nothing to report,,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,
Crew 203  26 JAN 2019,SOL  14  The final one for us here,Freddy Castaneda,Nothing new to report.,None,,Turned on  25Jan2019  91 Turned off  26Jan2019  100%  Turned on  26Jan2019  85%,Under 1 2 tank.,Over 79%,Nothing to report.,,01405365,About 25%  130,Yes  At 8 00  17 05 and 19 10 to refill tank,About 29%  85,,No.,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Not used.,70.3,100%,100%,Yes,Not used.,46.2,100%,100%,Yes,Not used.,72.2,100%,100%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brakes on Opportunity still not working properly.,None,Used to get crew to town for Hamburgers,Used to get crew 204 from Grand Junction to MDRS,Nothing to report.,Nothing to report.,Suit  10 and Suit  6 batteries still don t charge.,It was a very hard cleaning day with a delicious Hamburger as reward. Nothing new to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.
Crew 203  25 JAN 2019,SOL  13,Freddy Castaneda,Suit  11 and suit  6 batteries don t charge properly.,None,,Turned on  24Jan2019  86 Turned off  25Jan2019  100%  Turned on  25Jan2019  91%,Under 1 2 tank.,80%,Nothing to report.,,01404805,About 40%  215  Refilled,Yes  At 20 20 to refill tank,About 33%  98,,No.,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Not used.,70.3,100%,100%,Yes,Not used.,46.2,100%,100%,Yes,Not used.,72.2,100%,100%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brakes on Opportunity still not working properly.,None,Used to get water from Hanksville.,Off campus,Nothing to report.,Nothing to report.,Suit  10 and Suit  6 batteries don t charge.,RV Digest liquid is almost empty. Water tank was refilled with 125 gallons  it was refilled to prevent a damage on the submersible pump and to get a shower before leaving Mars.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.
,SOL  12,Freddy Castaneda,Nothing new to report.,None,,Turned on  23Jan2019  84 Turned off  24Jan2019  95%  Turned on  24Jan2019  86%,Under 1 2 tank.,Still 80%,Nothing to report.,,01404464,Just over 20%  115,Yes  At 18 05 to refill tank,About 37%  110,,No.,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Not used.,70.3,100%,100%,Yes,Not used.,46.2,100%,100%,Yes,Not used.,72.2,100%,100%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brakes on Opportunity still not working properly.,None,Not used.,Off campus,Nothing to report.,Nothing to report.,Suit  3 without fuse  Suit  10 Pending to check battery functionality on field  Suit  11 Pending to check battery functionality on field.,Vacuum filter and tissue paper received.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.
Crew 203  23 JAN 2019,SOL  11,Freddy Castaneda,Nothing new to report.,None,,Turned on  22Jan2019  83 Turned off  23Jan2019  60%  Turned on  23Jan2019  84%,Under 1 2 tank.,Refilled  80%,Nothing to report.,,01404157,About 30%  160,Yes  At 14 30 to refill the tank,About 43%  130,,Yes.,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Used for EVA to North Pinto Hills.,70.3,100%,64%,Yes,Not used.,46.2,100%,100%,Yes,Used for EVA to North Pinto Hills.,72.2,100%,89%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brakes on Opportunity still not working properly.,None,Not used.,Off campus,Nothing to report.,Nothing to report.,,8 toilet paper rolls received.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.
Crew 203  22 JAN 2019,SOL  10,Freddy Castaneda,Nothing new to report.,None,,Turned on  21Jan2019  86 Turned off  22Jan2019  100%  Turned on  22Jan2019  83%,Under 1 2 tank.,About 19%,Nothing to report.,,01403746,About 35%  190,Yes  At 18 40 to refill tank,About 49%  147,,No.,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Used for EVA to Pooh s Corner.,69.7,100%,86%,Yes,Used for EVA to Pooh s Corner.,46.2,100%,84%,Yes,Used for EVA to Pooh s Corner.,71.6,100%,95%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brakes on Opportunity still not working properly.,None,Not used.,Off campus,Nothing to report.,Nothing to report.,Suit  3 still pending for review.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.
Crew 203  21 JAN 2019,SOL  9,Freddy Castaneda,Nothing new to report.,None,,Turned on  20Jan2019  85 Turned off  21Jan2019  50%  Turned on  21Jan2019  86%,Still going under 1 2 tank.,Almost 20%,Nothing to report.,,01403355,About 40%  215,Yes  At 18 30 to refill tank,Over 49%  162,,No.,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Used for EVA to the Moons.,69.6,100%,38%,Yes,Used to test brakes.,46.0,100%,100%,Yes,Used for EVA to the Moons.,71.5,100%,68%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brakes on Opportunity still not working properly.,None,Not used.,Off campus,Nothing to report.,Nothing to report.,Suit  3 still pending for review. Suit  11 quit during EVA. Currently charging.,Today we realized that half of the toilet paper provided is actually kitchen towels.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.
Crew 203  20 JAN 2019,SOL  8,Freddy Castaneda,Nothing new to report.,None,,Turned on  19Jan2019  60 Turned off  20Jan2019  60%  Turned on  20Jan2019  86%,Just under 1 2 tank.,21%,10  were added.,,01403017,Over 45%  About 240,Yes  At 9 45 and 18 00 to refill tank,Over 59%  178,,Yes.,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Not used,68.8,100%,100%,Yes,Used to test brakes.,46.0,100%,100%,Yes,Not used,70.6,100%,100%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brakes on Opportunity were tested but still not working properly.,None,Used to take trash to Janksville.,Off campus,Nothing to report.,Nothing to report.,Suit  3 still pending for review.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report
Crew 203  20 JAN 2019,SOL  8,Freddy Castaneda,Nothing new to report.,None,,Turned on  19Jan2019  60 Turned off  20Jan2019  100%  Turned on  20Jan2019  86%,Just under 1 2 tank.,21%,10  were added.,,01403017,Over 45%  About 240,Yes  At 9 45 and 18 00 to refill tank,Over 59%  178,,Yes.,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Not used,68.8,100%,100%,Yes,Used to test brakes.,46.0,100%,100%,Yes,Not used,70.6,100%,100%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brakes on Opportunity were tested but still not working properly.,None,Used to take trash to Janksville.,Off campus,Nothing to report.,Nothing to report.,Suit  3 still pending for review.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report
Crew 203  19 JAN 2019,SOL  7,Freddy Castaneda,Nothing new to report.,None,,Turned on  18Jan2019  91 Turned off  19Jan2019  100%  Turned on  19Jan2019  60%,Just going under 1 2 tank.,23%,Not in use,,01402506,Over 60%  About 325,Yes  At 9 45 to refill tank,About 65%  194,,No,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Yes  used for EVA to Tank Wash,68.8,100%,52%,Yes,Not used,45.9,100%,100%,Yes,Yes  used for EVA to Tank Wash,70.6,100%,65%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,None,None,Used to go to Grand Junction to take Shannon to the doctor.,Off campus,We receive a new toilet brush and three new spare batteries too.,Nothing to report,Suit  3 still pending for review.,A broken toilet brush was replaced. Battery of smoke detector was replaced.,Nothing to report.,Battery of smoke detector was replaced.,Nothing to report.,Battery of smoke detector was replaced.,Nothing to report.,Nothing to report
Crew 203  18 JAN 2019,SOL  6,Freddy Castaneda,Nothing new to report.,None,,Turned on  17Jan2019  74 It wasn t turned off  18Jan2019  until it was full charged at 13 40  at 9 30 it was on 38% of charge  at 10 30 it was on 48% and at 13 40 it was ful of charge 100%  Turned on  19Jan2019  100%,1 2 tank.,Just over 25%,Not in use,,014012054,Under 70%  About 350,Yes  At 10 20 to refill tank,About 70%  211,,No,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Not used,68.2,100%,100%,Yes,Not used,45.9,100%,100%,Yes,Not used,70.0,100%,100%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,None,None,Not used.,Off campus,The generator was shuted down all night  it was fixed by Shannon and Atila on the morning.,Nothing to report,Suit  3 still pending for review  Suit  8 charged normally and is functional.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report
Crew 203  17 JAN 2019,SOL  5,Freddy Castaneda,Suit  8 not charging  pending to review. Generator,Generator had to be jump started  then later began running on low power. Troubleshooting in progress,,Turned on  16Jan2019  95 Turned off  16Jan2019  100%  Turned on  17Jan2019  74%,Not read  EVA in progress.,Not read  EVA in progress.,Not in use,,01401702,Over 70%  About 375,Yes  At 9 20 to refill tank,About 76%  227,,No,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Yes  used on a EVA to Kissing Camel,68.2,100%,68%,Yes,Not used,45.9,100%,100%,Yes,Yes  used on a EVA to Kissing Camel,70.0,100%,69%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Spirit was flashing a red maintenance light during EVA  now is charging and pending to review.,None,Not used. We were informed that the Hab Car washer fluid container has a leak  it might not be used  a spray bottle with washer fluid for use will be created by Shannon and Atila to cover the need.,Off campus,The generator had to be jump started tonight. No idea why.,Nothing to report,Suit  3 still not charge  now Suit  8 does not charge either  pending for review.,The commanders room door lock was fixed  now he can hide from us if he wants.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report.,Nothing to report
,SOL  2,Freddy Castaneda,Suit  9 still not working  Suits  3  6 and 8 under charging review  a Suit charger is needed because there is one that does not work and no spares are available.,Suit  9 was repaired  the electrical connections were fixed and a broken 5A fuse was identified but it could not be changed because there is no spare fuses  everything but the fuse is operational in the suit at this moment. Suits  3  6 and 8 are under charging review  pending for diagnostic.,,Turned on  13Jan2019  85 Turned off  14Jan2019  100%  Turned on  14Jan2019  88%,Just under 50%,Under 30%  almost 29%,Not in use,,01400658,About 90%  480,Yes  At 8 45 to refill tank,About 87%  260,,Yes  a few minutes ago and still feels the smell,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Yes  used for training EVA s 1 and 2,67.7,100%,90%,Yes,Not used,45.9,100%,100%,Yes,Yes  used for training EVA s 1 and 2,69.7,100%,95%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brakes on Opportunity still not working properly,None,Not used,Refueled and returned by the Crew 202 with 172540 miles,Nothing to report,Nothing to report,Suit  9 has a broken 5A fuse  still not working  Suits 3 6 and 8 under charging review  one charger is not working  Suit  7 has not been reviewed yet  I m aware to make a diagnosis.,Some crew members after a hard review  based on their skills on different engineering areas  have identified that the gas like smell is probably generated by the metal of the stairs  the welding residues and the oxide  we recommend to give a new layer of paint to the staircase to decrease the smell and protect the metal which is showing some signs of corrosion.,Nothing to report.,Nothing to report.,Nothing to report.,We were informed this morning by Shannon that yesterday the power was tripped to the power stations because the rover plugs were not completely clean before they were plugged back into power  so the rovers were not charged  she fixed it this morning.,Low batteries on two smoke detectors  spare batteries are needed.,Nothing to report
Crew 203  13 JAN 2019,SOL  1,Freddy Castaneda,Suit  9,Still pending for diagnostic.,,Turned on  12Jan2019  83 Turned off  13Jan2019  100%  Turned on  13Jan2019  85%,55%,30%,Not in use,,01400327,About 95%  505,Yes  At 16 50 to refill tank,About 90%  270,,Yes  it was horrible,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Yes  used for training Crew 203,67.5,100%,72%,Yes,Yes  brakes are still not working correctly but it was used for training Crew 203,45.9,100%,80%,Yes,Yes  used for training Crew 203,69.3,100%,88%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brakes on Opportunity still not working properly,None,Used two times to get water in town,Yes  used to get Crew 202 to town,Nothing to report,Nothing to report,Suit  9 still not working  Suit  7 has not been fixed yet  I m aware of the situation to make a diagnosis.,Some crew members have detected a low smell of propane when they go upstairs  we made an inspection with the propane gas detector and nothing was detected.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report
Crew 203  13 JAN 2019,SOL  1,Freddy Castaneda,Suit  9,Still pending for diagnostic.,,Turned on  12Jan2019  83 Turned off  13Jan2019  100%  Turned on  13Jan2019  85%,55%,30%,Not in use,,01400327,About 95%  505,Yes  At 16 50 to refill tank,About 90%  270,,Yes  it was horrible,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Yes  used for training Crew 203,67.5,100%,72%,Yes,Yes  brakes are still not working correctly but it was used for training Crew 203,45.9,100%,80%,Yes,Yes  used for training Crew 203,69.3,100%,88%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brakes on Opportunity still not working properly,None,Used to get water in town,Yes  used to get Crew 202 to town,Nothing to report,Nothing to report,Suit  9 still not working  Suit  7 has not been fixed yet  I m aware of the situation to make a diagnosis.,Some crew members have detected a low smell of propane when they go upstairs.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report
Crew 202  12 JAN 2019,SOL  14,Kasey Hilton,Suit  9,One of suit  9 s electrical connections was loose yesterday and had to be soldered  but after soldering the suit would not turn on,,Turned on  11Jan2019  81 Turned off  12Jan2019  100%  Turned on  12Jan2019  83%,60%,31%,Not in use,,01400068,65%  345,Yes  At 20 19 to refill tank,About 50%  155,,Yes  still very very stinky,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,No,67.2,100%,100%,Yes,No  brakes are still not working correctly,45.6,100%,100%,Yes,No,69.0,100%,100%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brake fluid in Opportunity was replaced but the brakes are still not functioning properly,None,Used to get water and dinner in town,Used to pick up crew 203 in Grand Junction and get dinner in town,Nothing to report,Nothing to report,Suit  9 s electrical connection in the recharger was soldered last night but did not turn on again after  even though the battery has sufficient charge  Suit  7 has not been fixed yet  The new crew engineer has been made aware of the situation,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report
Crew 202  11 JAN 2019,SOL  13,Kasey Hilton,Nothing to report,Nothing to report,,Turned on  10Jan2019  84 Turned off  11Jan2019  100%  Turned on  11Jan2019  81%,65%,34%,Not in use,,01399764,40%  220,Yes  At 20 41 to refill tank,About 55%  165,,No,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,No,67.2,100%,100%,Yes,No  brakes are still not working correctly,45.6,100%,100%,Yes,No,69.0,100%,100%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brake fluid in Opportunity was replaced but the brakes are still not functioning properly,None,Not used,Off site,Nothing to report,Nothing to report,I am in the process of fixing the charging issues for suits  7 and  9  One of the electrical connections inside of suit  9 is loose and has to be soldered  I think the same thing is wrong with suit  7,Nothing to report,The GreenHab door handle is loose but gets stuck when tightened  I am planning on checking the spring mechanism inside the handle,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report
Crew 202  10 JAN 2019,SOL  12,Kasey Hilton,Battery in suit  9,Battery in suit  9 was also very low after the EVA  Suit was checked to make sure the connections were proper and plugged in  I will check the voltage in morning once the battery has had time to charge,,Turned on  09Jan2019  82 Turned off  10Jan2019  100%  Turned on  10Jan2019  84%,70%,35%,Not in use,,01399491,50%  245,Yes  At 19 53 to refill tank,About 55%  165,,Yes  stinky as always,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Yes,66.8,100%,72%,Yes,No  brakes are still not working correctly,45.6,100%,100%,Yes,Yes,69.0,100%,89%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brake fluid in Opportunity was replaced but the brakes are still not functioning properly,1hr 46min,Not used,Off site,Nothing to report,Nothing to report,Battery in suit  7 had to be replaced again because the voltage was still very low after being sufficiently charged. Battery in suit  9 was low after the EVA as mentioned in  Non nominal systems   Suit will be checked after charging to see if the battery needs to be replaced or not,Hab ceiling still leaks every once and a while  Due to ice on the outside but should be gone in the next day or two,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,What are the average lifetime of a space suit battery  Suit  7 and  9 s batteries were just replaced a few days ago but are already below 12 V after a sufficient charge.
Crew 202  09 JAN 2019,SOL  11,Kasey Hilton,Hab ceiling leak  Suit  7 battery,The Hab ceiling is leaking over the couch area this morning but stopped in the afternoon  most likely due to the extra moisture from the melting snow  The battery in suit  7 was very low after the EVA and the fans were barely blowing  The suit is going to charge overnight and I will check the battery voltage again in the morning,,Turned on  08Jan2019  80 Turned off  09Jan2019  100%  Turned on  09Jan2019  82%,70%,37%,Not in use,,01399232,About 50%  270,Yes  At 18 28 to refill the tank,About 60%  178,,No,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Yes,66.8,100%,26%,Yes,No  brakes are still not working correctly,45.6,100%,100%,Yes,Yes,68.7,100%,45%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brake fluid in Opportunity was replaced but the brakes are still not functioning properly,None,Not used,Off site,Nothing to report,Nothing to report,Battery in suit  7 was very low by the end of the EVA as mentioned above in  Non nominal systems   Suit will be charged overnight and battery voltage will be checked again in the morning,Hab ceiling leaking in one spot in the corner as mentioned above in  Non nominal systems,Nothing to report,Hot plate was cleaned and will be tested tomorrow to see if the odor continues,Nothing to report,Nothing to report,Nothing to report,Nothing to report
,SOL  10,Kasey Hilton,Nothing to report,Nothing to report,,Turned on  07Jan2019  79 Turned off  08Jan2019  100%  Turned on  08Jan2019  80%,70%,39%,Not in use,,01398995,About 55%  295,Yes  At 20 01 to refill tank,About 65%  190,,No,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,No,66.2,100%,100%,Yes,No,45.4,100%,100%,Yes,No,68.0,100%,100%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brake fluid in Opportunity was replaced but the brakes are still not functioning properly,2.5 hrs,Not used,Off site,Nothing to report,Internet usage is back to normal,Nothing to report,Side panel is no longer banging against the side of the Hab due to lack of wind  Has not been fixed yet but should be fixed in the next few days,Nothing to report,Hot plate is not being used until it can be cleaned,Nothing to report,Nothing to report,Nothing to report,Nothing to report
Crew 202  07 JAN 2019,SOL  9,Kasey Hilton,Nothing to report,Nothing to report,,Turned on  06Jan2019  72 Turned off  07Jan2019  100%  Turned on  07Jan2019  79%,70%,41%,Not in use,,01398787,About 60%  320,Yes  At 19 20 to refill tank,About 65%  200,,Yes,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Yes,66.2,100%,57%,Yes,No,45.4,100%,100%,Yes,Yes,64.5,100%,69%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Brake fluid in Opportunity was replaced but the brakes are still not functioning properly,None,Not used,Off site,Nothing to report,Internet is not refreshing correctly  SystemControlCenter.com will show that we have no data left at  beginning of the day before anyone has turned electronics on or will show that we have 1GB but will be very slow,Battery in suit  9 was replaced because the battery had a voltage less than 12V,Side panel on west side of Hab is loose and waving in the wind  making a lot of noise  A bolt on the exhaust pipe on west side of Hab came loose,Nothing to report,Hot plate in ScienceDome starts producing a burning smell once the temperature is raised above 200C,Nothing to report,Nothing to report,Nothing to report,We replaced 3 suit batteries in the last two days and replaced a charger last week  I think there are only two more back up batteries left and no back up chargers left in the suit supply box
,SOL  8,Kasey Hilton,Nothing to report,Nothing to report,,Turned on  05Jan2019  80 Turned off  06Jan2019  80%  Turned on  06Jan2019  72%,73%,43%,Not in use,,01398548,About 70%  345,Yes  At 19 33 to refill tank,About 70%  215  assuming that the tank is 300 lons,,No,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Yes,65.5,100%,55%,Yes,No  Still out of brake fluid,45.4,100%,100%,Yes,Yes,63.7,100%,71%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Nothing to report,None,Not used,Off site,Nothing to report,Nothing to report,Batteries in suits  7 and  8 were replaced since each of their batteries had a voltage less than 12V,EVA airlock light fixed,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report
Crew 202  05 JAN 2019,SOL  7,Kasey Hilton,EVA airlock light,EVA airlock light is out  guessing the light needs to be changed,,Turned on  04Jan2019  81 Turned off  05Jan2019  100%  Turned on  05Jan2019  80%,73%,45%,Not in use,,01398288,About 75%  375,Yes  At 19 29 to refill tank,About 75%  225  assuming that the tank is 300 lons,,No,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Yes,65.1,100%,45%,Yes,No  Still out of brake fluid,45.4,100%,100%,Yes,Yes,63.3,100%,59%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Nothing to report,None,Not used,Off site,The trash has not been taken out since 02Jan2019 and is starting to build up a bit in the engineering airlock,Nothing to report,Nothing to report,EVA airlock light is out  I am planning on replacing the bulb in the morning  No change in power system issues from earlier this week  still having to manually start the generator and the SOC is not increasing,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report
Crew 202  04 JAN 2019,SOL  5,Kasey Hilton,None,Nothing to report,,Turned on  03Jan2019  83 Turned off  04Jan2019  100%  Turned on  04Jan2019  81%,73%,48%,Not in use,,01398024,About 75%  400,Yes  At 18 06 to refill tank,About 75%  230  assuming that the tank is 300 lons,,Yes  still very stinky,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Yes,64.7,100%,44%,Yes,No  Still out of brake fluid,45.4,100%,100%,Yes,Yes,62.9,100%,61%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Nothing to report,None,Not used,Off site,Today was the first day that nothing had broken,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report
Crew 202  02 JAN 2019,SOL  5,Kasey Hilton,Spacesuit charger,One of the Tenergy brand spacesuit chargers stopped working. It looked like the inside of the charger plug had been burnt. It was replaced with a PeleusTech charger. There are no more back up chargers in the suit supply box in the RAM.,,83%,73%,50%,Not in use,,01397842,About 75%  about a foot and a half below the top  430,Yes  At 10 00 to refill the tank,About 80%  240  assuming that the tank is 300 lons,,No,,,,,,ASSIGNED TO DIRECTOR,Not applicable,Not applicable,Not applicable,Not applicable,Yes,64.2,100%,68%,Yes,No  Still out of brake fluid,45.4,100%,100%,Yes,Yes,62.4,100%,50%,Yes,No  still not functional,Not applicable,Not applicable,Not applicable,Not applicable,Nothing to report,None,Not used,Off site,A power strip added to the EVA room to make all the chargers reach the suits.,Nothing to report,One of the suit chargers stopped working and was replaced with a backup charger that was in the RAM as mentioned above in  Non nominal systems . The replacement charger was the last backup that was in the spacesuit supply box.,Hab is out of power conservation mode. Power is now nominal.,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report,Nothing to report
